Date,Close/Last,Volume,Open,High,Low
12/21/2020,$86.41,5226564,$84.385,$86.53,$83.8
12/18/2020,$86.09,14603140,$87.66,$88.15,$85.3366
12/17/2020,$87.5,5559640,$89.125,$89.24,$87.13
12/16/2020,$88.55,5808136,$88.31,$89.25,$87.29
12/15/2020,$88.47,6180768,$89.9,$90.605,$87.95
12/14/2020,$88.5,6425496,$88.499,$90.52,$88.32
12/11/2020,$88.3,5776367,$87.05,$88.59,$86.59
12/10/2020,$87.89,5731157,$87,$88.61,$86.46
12/09/2020,$87.82,7017779,$89.565,$90.1,$87.18
12/08/2020,$89.75,4702966,$89.23,$90.26,$89.04
12/07/2020,$89.14,5524095,$89.27,$89.46,$87.8225
12/04/2020,$88.84,6876859,$86.92,$88.92,$86.65
12/03/2020,$86.1,4824985,$85.74,$87.03,$85.685
12/02/2020,$85.29,5272794,$83.69,$85.59,$83.61
12/01/2020,$84.27,7044074,$83.05,$84.62,$82.88
11/30/2020,$82.48,7543095,$82,$82.59,$80.7075
11/27/2020,$82.66,3098229,$81.81,$83.53,$81.68
11/25/2020,$81.14,5518508,$82.895,$83.02,$81.07
11/24/2020,$82.95,9542024,$81,$83.14,$79.82
11/23/2020,$80.5,8809829,$76.9718,$80.58,$76.9718
11/20/2020,$76.725,7609745,$77.2,$78.57,$76.68
11/19/2020,$77.25,8990081,$75.26,$77.51,$74.51
11/18/2020,$75.71,10667680,$74.69,$76.67,$74.59
11/17/2020,$74.37,5460128,$73.76,$74.57,$73.06
11/16/2020,$74.48,8104390,$72.97,$74.53,$72.58
11/13/2020,$72.81,10182300,$72.27,$73.94,$71.505
11/12/2020,$69.8,8555129,$70.86,$71.15,$69.43
11/11/2020,$71.16,8071944,$70.2032,$71.7,$69.8849
11/10/2020,$69.39,8206498,$70.95,$71.49,$69.1
11/09/2020,$71.3,10154560,$73.2,$75.93,$71.26
11/06/2020,$70.53,8639662,$68.9,$70.86,$68.35
11/05/2020,$69.95,13118070,$66,$70.06,$65.91
11/04/2020,$64.86,9808323,$63.44,$65.19,$62.13
11/03/2020,$61.83,9967589,$60.99,$62.44,$60.99
11/02/2020,$60.33,7475407,$59.95,$60.475,$59.53
10/30/2020,$59.23,7338657,$58.74,$59.28,$58.26
10/29/2020,$59.5,6314380,$57.23,$60.23,$56.95
10/28/2020,$57.32,8976958,$57.78,$58.22,$56.87
10/27/2020,$58.83,4626324,$59.78,$59.99,$58.77
10/26/2020,$59.51,6715421,$60.325,$60.5,$58.65
10/23/2020,$60.95,6520098,$61.7,$62.17,$60.66
10/22/2020,$61.7,6014586,$61.73,$62.15,$60.86
10/21/2020,$62.11,6188889,$62.4,$62.86,$61.91
10/20/2020,$62.26,4479873,$62.67,$63.01,$62.02
10/19/2020,$62.05,5757543,$63.17,$63.62,$61.8141
10/16/2020,$63,6841070,$63.76,$63.93,$62.405
10/15/2020,$63.51,6397398,$62.4,$63.685,$62.02
10/14/2020,$63.98,5824029,$64.9,$65.18,$63.43
10/13/2020,$64.69,7189885,$65.24,$65.42,$64.155
10/12/2020,$64.68,7021872,$64.06,$65.12,$63.98
10/09/2020,$63.29,6367103,$63.29,$63.81,$63.06
10/08/2020,$62.6,5411867,$61.7,$62.697,$61.37
10/07/2020,$61.12,5335383,$61.5,$61.79,$60.915
10/06/2020,$60.4,6947868,$60.33,$62.16,$60.17
10/05/2020,$60.6,6694647,$58.93,$60.63,$58.76
10/02/2020,$58.21,7103905,$59.09,$59.66,$58.19
10/01/2020,$60.65,7542796,$60.37,$61.02,$59.51
09/30/2020,$59.45,9074380,$59.43,$60.183,$58.99
09/29/2020,$59.65,5427837,$59.381,$60.25,$59.15
